City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
263,Puerto Colombia,CO,78.89,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
264,Pointe-Noire,CG,77.52,overcast clouds,-4.7761,11.8635,Kactus Lodge
266,Touho,NC,79.54,broken clouds,-20.7833,165.2333,Auberge Timay Evasion
267,Mananjary,MG,84.52,clear sky,-21.2167,48.3333,Vahiny Lodge
269,Waingapu,ID,84.61,few clouds,-9.6567,120.2641,Pondok Wisata Elim
270,Sao Sebastiao,BR,76.73,overcast clouds,-23.76,-45.4097,Hotel Recanto dos Pássaros
271,Manta,EC,76.78,broken clouds,-0.95,-80.7333,Balandra Hotel
280,Port Blair,IN,86.04,haze,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
289,Kirakira,SB,81.0,light rain,-10.4544,161.9205,SanBiz Lodge
296,Odweyne,SO,80.74,few clouds,9.4092,45.064,Eng Hiirey House
299,Kampot,KH,89.65,clear sky,10.6167,104.1833,Two Moons Hotel
301,Kalmunai,LK,85.35,broken clouds,7.4167,81.8167,VS Villa
302,Atambua,ID,80.38,broken clouds,-9.1061,124.8925,Kost Alfa Flat
305,Geraldton,AU,82.81,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
308,Kitui,KE,76.82,clear sky,-1.367,38.0106,Heritage Bliss Hotel
309,Dzaoudzi,YT,87.69,clear sky,-12.7887,45.2699,Le Rocher
319,Ishigaki,JP,75.94,light rain,24.3448,124.1572,Hotel Peace Land Ishigakijima
322,Bedele,ET,75.88,clear sky,8.456,36.353,Central Hotel
323,Noumea,NC,78.78,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
329,Anloga,GH,82.56,overcast clouds,5.7947,0.8973,Pin Drop Hotel
354,Bonthe,SL,76.15,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
355,Ternate,ID,82.35,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
356,Yulara,AU,89.44,scattered clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
365,Jertih,MY,84.99,overcast clouds,5.7336,102.4897,One Utama Hotel
371,Arlit,NE,78.37,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
378,Kilindoni,TZ,83.8,broken clouds,-7.9139,39.6668,Bustani B&B
381,Port Moresby,PG,83.05,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
390,Basco,PH,81.75,clear sky,20.4487,121.9702,Nathaniel's Lodge
395,Kavaratti,IN,82.09,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
396,Kapit,MY,85.73,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
397,Kibala,TD,87.46,few clouds,9.1104,18.3463,hotel safari
406,Murwillumbah,AU,77.13,broken clouds,-28.3167,153.4,Murwillumbah Motor Inn
407,Eseka,CM,78.3,overcast clouds,3.65,10.7667,Complexe Hotelier Ndjiki Mpeck Eseka II
417,Bodden Town,KY,77.94,overcast clouds,19.2833,-81.25,Will T Place
420,Galle,LK,82.72,overcast clouds,6.0367,80.217,Amangalla
421,Wajid,SO,82.74,broken clouds,3.8093,43.2471,xamdihotelresturant114
424,Tautira,PF,81.52,light rain,-17.7333,-149.15,Pension Oaoa
427,Tabuk,PH,89.73,clear sky,17.4189,121.4443,Golden Berries Hotel and Convention
428,Tukuran,PH,84.58,light rain,7.8551,123.5752,Corvada
438,Banda Aceh,ID,84.52,scattered clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
440,Tibiri,NE,75.78,clear sky,13.5627,7.0485,FADA GAO FA TIBIRI
442,Gushikawa,JP,75.2,moderate rain,26.3544,127.8686,Kirari Guest House
446,Eyl,SO,83.82,overcast clouds,7.9803,49.8164,Amiin Hotel
450,Mana,GF,76.55,overcast clouds,5.6592,-53.7767,LE SAMANA
453,Isabela,PH,86.0,scattered clouds,6.7085,121.9711,Isawad Resort
456,Dhidhdhoo,MV,81.32,clear sky,6.8833,73.1,Dhidhoo beach
464,Quatre Cocos,MU,86.11,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
476,Saint-Joseph,RE,85.1,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
477,Bandarbeyla,SO,81.9,overcast clouds,9.4942,50.8122,JABIR HOTEL
480,Wukari,NG,83.32,scattered clouds,7.85,9.7833,Elimtop
481,Garowe,SO,83.12,few clouds,8.4054,48.4845,Curubo Hotel
487,Tutoia,BR,75.36,overcast clouds,-2.7619,-42.2744,Pousada Guará's
489,Namatanai,PG,82.08,light rain,-3.6667,152.4333,Seagulls Inn Namatani
490,Sinnamary,GF,76.8,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
493,Sibu,MY,89.22,overcast clouds,2.3,111.8167,RH HOTEL (4 Star)
495,Ambilobe,MG,87.21,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
498,Mayumba,GA,79.2,light rain,-3.432,10.6554,LIKWALE LODGE
499,Liku,ID,85.32,overcast clouds,-0.7275,119.8922,Wahyu
501,Palu,ID,87.04,broken clouds,-0.8917,119.8707,Hotel Santika Palu
503,Jacmel,HT,76.84,overcast clouds,18.2342,-72.5347,Historic Hotel Florita
504,Saint-Pierre,RE,86.18,clear sky,-21.3393,55.4781,Lindsey Hôtel
509,Catuday,PH,85.17,clear sky,16.2923,119.8062,Benjie's Kubo & Cottages
511,Nanyamba,TZ,83.12,clear sky,-10.6833,39.8333,Busati Lodge Nanyamba
514,Loandjili,CG,77.58,overcast clouds,-4.7561,11.8578,Résidence ARCHANGE
524,Gwadar,PK,84.27,clear sky,25.1216,62.3254,Sadaf Resort
537,Iracoubo,GF,76.78,broken clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
544,Itoman,JP,75.97,shower rain,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
545,Harper,LR,77.7,overcast clouds,4.375,-7.7169,Screensaver
546,Chipinge,ZW,76.48,few clouds,-20.1883,32.6236,Chipinge Breeze Lodge
547,Charters Towers,AU,88.09,overcast clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
552,Vila Velha,BR,76.95,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
554,Muhoroni,KE,82.63,few clouds,-0.1541,35.1988,Rosa Gardens Hotel -Muhoroni
556,Wanlaweyn,SO,89.15,clear sky,2.6185,44.8938,GAASHAAN HOME
557,Luganville,VU,80.47,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
558,Sao Jose Da Coroa Grande,BR,76.62,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
559,Abong Mbang,CM,76.26,overcast clouds,3.9833,13.1833,Auberge Angle Sur
568,Kokopo,PG,80.76,light rain,-4.352,152.2633,Kokopo Beach Bungalow Resort
574,Honiara,SB,77.74,heavy intensity rain,-9.4333,159.95,Heritage Park Hotel
578,Lucea,JM,75.06,scattered clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
579,Cayenne,GF,80.1,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
592,Xam Nua,LA,87.4,clear sky,20.4197,104.0439,Xee Wang Guesthouse
600,Port-Gentil,GA,81.18,overcast clouds,-0.7193,8.7815,Fengshui Residence
606,Buta,CD,77.16,overcast clouds,2.7858,24.73,HOTEL BISO NA BISO
610,Manokwari,ID,81.79,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
611,Ugoofaaru,MV,81.73,clear sky,5.6667,73.0,Ungoofaaru Inn
