City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Bredasdorp,ZA,-34.5322,20.0403,66.4,68,69,12.71,broken clouds
81,Ramhormoz,IR,31.28,49.6035,70.0,18,0,12.62,clear sky
82,Hithadhoo,MV,-0.6,73.0833,83.95,68,7,13.71,clear sky
83,Vila Franca Do Campo,PT,37.7167,-25.4333,59.41,93,100,27.67,overcast clouds
84,Qaanaaq,GL,77.484,-69.3632,4.53,85,100,5.99,overcast clouds
85,Fuyang,CN,32.9,115.8167,62.64,46,100,4.45,overcast clouds
86,Aklavik,CA,68.2191,-135.0107,-13.4,99,14,8.23,few clouds
87,Sola,VU,-13.8833,167.55,82.62,72,88,7.49,overcast clouds
88,Kodiak,US,57.79,-152.4072,35.11,87,75,3.44,broken clouds
89,Nouadhibou,MR,20.931,-17.0347,60.98,74,22,14.18,few clouds
90,East London,ZA,-33.0153,27.9116,64.87,90,100,4.03,moderate rain
91,New Norfolk,AU,-42.7826,147.0587,72.91,43,0,1.99,clear sky
92,Pascagoula,US,30.3658,-88.5561,55.42,82,0,0.0,clear sky
93,Avarua,CK,-21.2078,-159.775,77.05,94,75,8.05,haze
94,Salalah,OM,17.0151,54.0924,86.49,31,4,8.75,clear sky
95,Gao,ML,16.6362,1.637,79.59,13,53,13.42,broken clouds
96,Bethel,US,41.3712,-73.414,48.49,71,100,3.0,overcast clouds
97,Kashi,CN,39.4547,75.9797,56.64,35,7,4.85,clear sky
98,Embonas,GR,36.2269,27.8564,55.53,64,0,10.45,clear sky
99,Ketchikan,US,55.3422,-131.6461,40.98,100,100,4.61,light rain
100,Iguai,BR,-14.7564,-40.0892,70.36,92,99,0.49,overcast clouds
101,Sabha,LY,27.0377,14.4283,57.04,23,0,20.49,clear sky
102,Viedma,AR,-40.8135,-62.9967,55.96,80,19,4.59,few clouds
103,Butaritari,KI,3.0707,172.7902,80.98,71,100,9.22,overcast clouds
104,Inyonga,TZ,-6.7167,32.0667,74.5,69,0,4.7,clear sky
105,Russell,US,32.3502,-85.1999,52.83,81,0,0.0,clear sky
106,Asyut,EG,27.181,31.1837,59.47,39,0,13.51,clear sky
107,Christchurch,NZ,-43.5333,172.6333,60.01,77,12,11.5,few clouds
108,Hermanus,ZA,-34.4187,19.2345,65.8,77,0,11.92,clear sky
109,Nabire,ID,-3.3667,135.4833,85.35,63,84,5.12,broken clouds
110,Kudahuvadhoo,MV,2.6708,72.8944,82.18,68,0,7.72,clear sky
111,Katsuura,JP,35.1333,140.3,63.1,85,100,29.06,light rain
112,Bihar,RO,47.15,21.9167,46.17,53,0,4.61,clear sky
113,Hofn,IS,64.2539,-15.2082,39.02,91,100,4.61,overcast clouds
114,Richards Bay,ZA,-28.783,32.0377,72.82,81,59,6.44,light rain
115,Nishihara,JP,26.1842,127.7558,75.25,97,100,26.46,shower rain
116,Narsaq,GL,60.9167,-46.05,25.02,71,36,8.43,scattered clouds
117,Tiksi,RU,71.6872,128.8694,-0.98,99,45,2.21,scattered clouds
118,Saskylakh,RU,71.9167,114.0833,1.24,96,96,3.94,overcast clouds
119,Kanniyakumari,IN,8.0833,77.5667,83.82,68,28,8.93,scattered clouds
120,Guerrero Negro,MX,27.9769,-114.0611,61.79,74,87,4.94,overcast clouds
121,Nikolskoye,RU,59.7035,30.7861,35.49,89,99,14.99,light snow
122,Maningrida,AU,-12.0667,134.2667,84.04,73,100,7.92,overcast clouds
123,Hedaru,TZ,-4.5,37.9,81.18,63,72,3.83,broken clouds
124,Lancaster,US,40.2504,-76.2499,46.78,86,38,7.25,scattered clouds
125,Bundoran,IE,54.4778,-8.2809,45.63,83,0,6.49,clear sky
126,Oxford,GB,51.7522,-1.256,43.77,88,0,4.61,clear sky
127,Karratha,AU,-20.7377,116.8463,91.18,52,29,18.41,scattered clouds
128,Vyartsilya,RU,62.1764,30.693,27.14,92,100,14.34,light snow
129,Bathsheba,BB,13.2167,-59.5167,77.61,78,75,18.41,broken clouds
130,Castro,BR,-24.7911,-50.0119,64.06,97,100,2.98,overcast clouds
131,Constitucion,CL,-35.3333,-72.4167,50.61,89,4,3.65,clear sky
132,Athabasca,CA,54.7169,-113.2854,19.4,92,100,10.25,light snow
133,Dauphin,CA,51.1494,-100.0502,7.21,95,99,5.14,overcast clouds
134,Norman Wells,CA,65.282,-126.8329,-4.95,97,80,4.5,broken clouds
135,Chimore,BO,-16.9833,-65.1333,63.01,99,100,0.96,overcast clouds
136,Urucara,BR,-2.5364,-57.76,73.44,95,62,1.16,broken clouds
137,Ilulissat,GL,69.2167,-51.1,14.02,85,75,2.3,broken clouds
138,Dingle,PH,10.9995,122.6711,90.68,49,6,12.44,clear sky
139,Salinopolis,BR,-0.6136,-47.3561,77.18,88,93,7.72,overcast clouds
140,Klaksvik,FO,62.2266,-6.589,45.52,93,100,8.7,overcast clouds
141,Ribeira Grande,PT,38.5167,-28.7,57.65,83,100,27.51,overcast clouds
142,Souillac,MU,-20.5167,57.5167,86.38,70,75,11.5,broken clouds
143,Chuy,UY,-33.6971,-53.4616,56.59,93,66,11.1,broken clouds
144,Tessalit,ML,20.1986,1.0114,80.31,11,78,21.7,broken clouds
145,Mapiripan,CO,2.8892,-72.1256,74.07,94,100,0.67,overcast clouds
146,Davila,PH,18.4726,120.5763,84.45,71,7,10.31,clear sky
147,Kruisfontein,ZA,-34.0033,24.7314,61.88,67,23,7.96,few clouds
148,Vostok,RU,46.4856,135.8833,33.82,100,100,3.06,light snow
149,Nuuk,GL,64.1835,-51.7216,21.81,79,100,2.3,overcast clouds
150,Fare,PF,-16.7,-151.0167,82.09,72,73,14.18,broken clouds
151,Beringovskiy,RU,63.05,179.3167,2.46,100,27,4.74,scattered clouds
152,Port Hardy,CA,50.6996,-127.4199,44.31,91,100,4.92,light rain
153,Zhangye,CN,38.9342,100.4517,47.32,20,88,2.24,overcast clouds
154,Olinda,BR,-8.0089,-34.8553,76.73,94,20,3.44,few clouds
155,Port Alfred,ZA,-33.5906,26.891,65.17,90,58,6.2,broken clouds
156,Japura,ID,-0.3167,102.35,97.54,38,52,3.2,broken clouds
157,Bara,NG,10.3744,10.7288,80.51,17,19,15.48,few clouds
158,Najran,SA,17.4924,44.1277,80.64,14,0,11.27,clear sky
159,Saint Anthony,US,45.0205,-93.218,24.73,61,75,25.32,broken clouds
160,Huntington,US,38.4193,-82.4452,40.98,83,100,6.91,overcast clouds
161,Mendi,PG,-6.1761,143.6513,60.93,96,100,0.87,overcast clouds
162,Shingu,JP,33.7333,135.9833,63.1,97,100,14.81,heavy intensity rain
163,Tasiilaq,GL,65.6145,-37.6368,24.96,95,100,4.83,overcast clouds
164,Thompson,CA,55.7435,-97.8558,-14.31,88,57,10.27,broken clouds
165,Tazovskiy,RU,67.4667,78.7,20.75,93,100,9.86,light snow
166,Bhunya,SZ,-26.55,31.0167,66.6,87,100,1.03,overcast clouds
167,Travesia,HN,15.8667,-87.9,71.89,81,100,11.81,overcast clouds
168,Georgetown,MY,5.4112,100.3354,93.13,59,20,11.5,few clouds
169,Nome,US,64.5011,-165.4064,14.07,85,0,0.0,clear sky
170,Torbay,CA,47.6666,-52.7314,30.27,94,100,13.8,overcast clouds
171,Saint-Philippe,RE,-21.3585,55.7679,86.11,72,0,7.36,clear sky
172,Wainwright,CA,52.839,-110.8572,16.97,87,100,12.28,overcast clouds
173,Te Anau,NZ,-45.4167,167.7167,59.07,81,37,4.27,scattered clouds
174,Namibe,AO,-15.1961,12.1522,74.98,63,100,7.85,overcast clouds
175,Auki,SB,-8.7676,160.7034,78.71,89,100,8.46,overcast clouds
176,Huarmey,PE,-10.0681,-78.1522,70.2,84,100,7.65,overcast clouds
177,Cabo San Lucas,MX,22.8909,-109.9124,73.51,52,2,6.02,clear sky
178,Jonesboro,US,35.8423,-90.7043,47.79,40,0,8.01,clear sky
179,Puri,IN,19.8,85.85,93.72,72,55,18.28,broken clouds
